| 289  | Oranguru           |  0.00053% | 1330   |  0.043% | 1037   |  0.042% | 
| 290  | Lunatone           |  0.00052% | 1592   |  0.051% | 1209   |  0.049% | 
| 291  | Wobbuffet          |  0.00050% | 2617   |  0.084% | 2044   |  0.084% | 
| 292  | Silvally-Dark      |  0.00046% | 403    |  0.013% | 311    |  0.013% | 
| 293  | Beheeyem           |  0.00046% | 1398   |  0.045% | 1059   |  0.043% | 
| 294  | Grookey            |  0.00043% | 217    |  0.007% | 191    |  0.008% | 
| 295  | Scorbunny          |  0.00038% | 259    |  0.008% | 210    |  0.009% | 
| 296  | Ferroseed          |  0.00035% | 667    |  0.022% | 571    |  0.023% | 
| 297  | Gloom              |  0.00034% | 1321   |  0.043% | 1035   |  0.042% | 
| 298  | Wartortle          |  0.00032% | 795    |  0.026% | 633    |  0.026% | 
| 299  | Gourgeist          |  0.00031% | 701    |  0.023% | 525    |  0.021% | 
| 300  | Pupitar            |  0.00031% | 143    |  0.005% | 111    |  0.005% | 
| 301  | Gothitelle         |  0.00031% | 1593   |  0.051% | 1146   |  0.047% | 
| 302  | Lampent            |  0.00029% | 173    |  0.006% | 132    |  0.005% | 
| 303  | Sneasel            |  0.00025% | 504    |  0.016% | 389    |  0.016% | 
| 304  | Solosis            |  0.00024% | 368    |  0.012% | 302    |  0.012% | 
| 305  | Silvally-Rock      |  0.00023% | 380    |  0.012% | 275    |  0.011% | 
| 306  | Fraxure            |  0.00023% | 326    |  0.011% | 236    |  0.010% | 
| 307  | Sliggoo            |  0.00021% | 254    |  0.008% | 186    |  0.008% | 
| 308  | Ivysaur            |  0.00020% | 677    |  0.022% | 536    |  0.022% | 
| 309  | Silvally-Water     |  0.00018% | 748    |  0.024% | 580    |  0.024% | 
| 310  | Cherrim            |  0.00017% | 908    |  0.029% | 675    |  0.028% | 
| 311  | Slowpoke-Galar     |  0.00017% | 364    |  0.012% | 288    |  0.012% | 
| 312  | Snom               |  0.00017% | 609    |  0.020% | 471    |  0.019% | 
| 313  | Zweilous           |  0.00017% | 305    |  0.010% | 231    |  0.009% | 
| 314  | Shellos            |  0.00016% | 111    |  0.004% | 72     |  0.003% | 
| 315  | Gourgeist-Large    |  0.00014% | 322    |  0.010% | 263    |  0.011% | 
| 316  | Charmeleon         |  0.00013% | 470    |  0.015% | 369    |  0.015% | 
| 317  | Impidimp           |  0.00012% | 115    |  0.004% | 95     |  0.004% | 
| 318  | Drizzile           |  0.00011% | 173    |  0.006% | 128    |  0.005% | 
| 319  | Mime Jr.           |  0.00011% | 68     |  0.002% | 56     |  0.002% | 
| 320  | Mareanie           |  0.00011% | 123    |  0.004% | 86     |  0.004% | 
| 321  | Natu               |  0.00010% | 258    |  0.008% | 238    |  0.010% | 
| 322  | Snover             |  0.00010% | 73     |  0.002% | 59     |  0.002% | 
| 323  | Rufflet            |  0.00010% | 46     |  0.001% | 33     |  0.001% | 
| 324  | Glalie             |  0.00009% | 720    |  0.023% | 541    |  0.022% | 
| 325  | Drifloon           |  0.00009% | 134    |  0.004% | 92     |  0.004% | 
| 326  | Chewtle            |  0.00007% | 27     |  0.001% | 22     |  0.001% | 
